ID,Name,item_level,bind,gear_slot,gear_type,unique,primary_stats,secondary_stats,required_level,sell_price,dropped_by,mainstat,distribution,stats,Type,dropped_in,Dungeon,Week,Boss,spec_ids,spec_names,DkBlood,DkFrost,DkUnholy,DhHavoc,DhVeng,DruidBoomie,DruidCat,DruidBear,DruidResto,EvokerDev,EvokerPres,EvokerAug,HunterBm,HunterMm,HunterSv,MageArcane,MageFire,MageFrost,MonkBrew,MonkMw,MonkWw,PaladinHoly,PaladinProt,PaladinRet,PriestDisc,PriestHoly,PriestShadow,RogueSin,RogueOutlaw,RogueSub,ShamanEle,ShamanEnh,ShamanResto,WarlockAff,WarlockDemo,WarlockDest,WarriorArms,WarriorFury,WarriorProt,Dk,Dh,Druid,Evoker,Hunter,Mage,Monk,Paladin,Priest,Rogue,Shaman,Warlock,Warrior
221080,Corpseleecher Grips,437,Soulbound,Hands,Mail,False,"Agility, Intellect","Critical Strike, Versatility",68,"26 gold, 20 silver, 43 copper",Skarmorak,"Agi,Int",60% Versatility + 39% Critical Strike,V>C,Hands,The Stonevault,Stonevault,both,2nd,"253, 254, 255, 262, 263, 264, 1467, 1468, 1473","HunterBm, HunterMm, HunterSv, ShamanEle, ShamanEnh, ShamanResto, EvokerDev, EvokerPres, EvokerAug",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50%,,50%,,,,,,,0%,0%,0%,100%,100%,0%,0%,0%,0%,0%,100%,0%,0%
221112,Caliginous Claspers,437,Soulbound,Hands,Plate,False,"Strength, Intellect","Haste, Versatility",68,"25 gold, 41 silver, 34 copper",The Darkness,"Str,Int",64% Versatility + 35% Haste,V>H,Hands,Darkflame Cleft,Darkflame Cleft,Hc,Last,"65, 66, 70, 71, 72, 73, 250, 251, 252","PaladinHoly, PaladinProt, PaladinRet, WarriorArms, WarriorFury, WarriorProt, DkBlood, DkFrost, DkUnholy",,,,,,,,,,,,,,,,,,,,,,,,33%,,,,,,,,,,,,,33%,33%,,33%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,50%
221151,Devourer's Gauntlets,437,Soulbound,Hands,Plate,False,"Strength, Intellect","Haste, Versatility",68,"26 gold, 1 silver, 52 copper",Avanoxx,"Str,Int",58% Haste + 41% Versatility,H>V,Hands,"Ara-Kara, City of Echoes",Ara-Kara,both,1st,"65, 66, 70, 71, 72, 73, 250, 251, 252","PaladinHoly, PaladinProt, PaladinRet, WarriorArms, WarriorFury, WarriorProt, DkBlood, DkFrost, DkUnholy",,,,,,,,,,,,,,,,,,,,,,33%,,,,,,,,,,,,,,,,,,50%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,50%
221086,Machinist's Searing Handguards,437,Soulbound,Hands,Plate,False,"Strength, Intellect","Critical Strike, Haste",68,"27 gold, 49 silver, 59 copper",Speaker Dorlita,"Str,Int",60% Haste + 39% Critical Strike,H>C,Hands,The Stonevault,Stonevault,both,3rd,"65, 66, 70, 71, 72, 73, 250, 251, 252","PaladinHoly, PaladinProt, PaladinRet, WarriorArms, WarriorFury, WarriorProt, DkBlood, DkFrost, DkUnholy",,33%,33%,,,,,,,,,,,,,,,,,,,33%,,33%,,,,,,,,,,,,,33%,33%,,50%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,50%
178706,Fogweaver Gauntlets,158,Soulbound,Hands,Plate,False,"Strength, Intellect","Critical Strike, Mastery",60,"1 gold, 20 silver, 34 copper",Mistcaller,"Str,Int",62% Mastery + 37% Critical Strike,M>C,Hands,Mists of Tirna Scithe,Mists of Tirna,m0,2nd,"65, 66, 70, 71, 72, 73, 250, 251, 252","PaladinHoly, PaladinProt, PaladinRet, WarriorArms, WarriorFury, WarriorProt, DkBlood, DkFrost, DkUnholy",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33%,0%,0%,0%,0%,0%,0%,33%,0%,0%,0%,0%,33%
159429,Rope-Scored Gauntlets,59,Soulbound,Hands,Plate,False,"Strength, Intellect","Critical Strike, Mastery",0,"0 gold, 7 silver, 43 copper",Dread Captain Lockwood,"Str,Int",66% Critical Strike + 33% Mastery,C>M,Hands,Siege of Boralus,Siege of Boralus,m0,2nd,"65, 66, 70, 71, 72, 73, 250, 251, 252","PaladinHoly, PaladinProt, PaladinRet, WarriorArms, WarriorFury, WarriorProt, DkBlood, DkFrost, DkUnholy",,33%,,,,,,,,,,,,,,,,,,,,,33%,,,,,,,,,,,,,,,33%,33%,50%,0%,0%,0%,0%,0%,0%,50%,0%,0%,0%,0%,50%
,Hands items for (Dh),0,BoE,Hands,m0 week,False,,,0,"0 gold, 0 silver, 0 copper",,,,,"Hands (Dh, m0)",m0 week,2 available in m0,m0,,"577, 581","DkBlood, DkFrost, DkUnholy, DhHavoc, DhVeng, DruidBoomie, DruidCat, DruidBear, DruidResto, EvokerDev, EvokerPres, EvokerAug, HunterBm, HunterMm, HunterSv, MageArcane, MageFire, MageFrost, MonkBrew, MonkMw, MonkWw, PaladinHoly, PaladinProt, PaladinRet, PriestDisc, PriestHoly, PriestShadow, RogueSin, RogueOutlaw, RogueSub, ShamanEle, ShamanEnh, ShamanResto, WarlockAff, WarlockDemo, WarlockDest, WarriorArms, WarriorFury, WarriorProt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19%,,,,,,,,,,,
,Hands items for (Druid),0,BoE,Hands,m0 week,False,,,0,"0 gold, 0 silver, 0 copper",,,,,"Hands (Druid, m0)",m0 week,2 available in m0,m0,,"102, 103, 104, 105","DkBlood, DkFrost, DkUnholy, DhHavoc, DhVeng, DruidBoomie, DruidCat, DruidBear, DruidResto, EvokerDev, EvokerPres, EvokerAug, HunterBm, HunterMm, HunterSv, MageArcane, MageFire, MageFrost, MonkBrew, MonkMw, MonkWw, PaladinHoly, PaladinProt, PaladinRet, PriestDisc, PriestHoly, PriestShadow, RogueSin, RogueOutlaw, RogueSub, ShamanEle, ShamanEnh, ShamanResto, WarlockAff, WarlockDemo, WarlockDest, WarriorArms, WarriorFury, WarriorProt",,,,,,,,,16%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19%,,,,,,,,,,
,Hands items for (Evoker),0,BoE,Hands,m0 week,False,,,0,"0 gold, 0 silver, 0 copper",,,,,"Hands (Evoker, m0)",m0 week,2 available in m0,m0,,"1467, 1468, 1473","DkBlood, DkFrost, DkUnholy, DhHavoc, DhVeng, DruidBoomie, DruidCat, DruidBear, DruidResto, EvokerDev, EvokerPres, EvokerAug, HunterBm, HunterMm, HunterSv, MageArcane, MageFire, MageFrost, MonkBrew, MonkMw, MonkWw, PaladinHoly, PaladinProt, PaladinRet, PriestDisc, PriestHoly, PriestShadow, RogueSin, RogueOutlaw, RogueSub, ShamanEle, ShamanEnh, ShamanResto, WarlockAff, WarlockDemo, WarlockDest, WarriorArms, WarriorFury, WarriorProt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25%,,,,,,,,,
,Hands items for (Hunter),0,BoE,Hands,m0 week,False,,,0,"0 gold, 0 silver, 0 copper",,,,,"Hands (Hunter, m0)",m0 week,2 available in m0,m0,,"253, 254, 255","DkBlood, DkFrost, DkUnholy, DhHavoc, DhVeng, DruidBoomie, DruidCat, DruidBear, DruidResto, EvokerDev, EvokerPres, EvokerAug, HunterBm, HunterMm, HunterSv, MageArcane, MageFire, MageFrost, MonkBrew, MonkMw, MonkWw, PaladinHoly, PaladinProt, PaladinRet, PriestDisc, PriestHoly, PriestShadow, RogueSin, RogueOutlaw, RogueSub, ShamanEle, ShamanEnh, ShamanResto, WarlockAff, WarlockDemo, WarlockDest, WarriorArms, WarriorFury, WarriorProt",,,,,,,,,,,,,,,25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28%,,,,,,,,
,Hands items for (Monk),0,BoE,Hands,m0 week,False,,,0,"0 gold, 0 silver, 0 copper",,,,,"Hands (Monk, m0)",m0 week,2 available in m0,m0,,"268, 270, 269","DkBlood, DkFrost, DkUnholy, DhHavoc, DhVeng, DruidBoomie, DruidCat, DruidBear, DruidResto, EvokerDev, EvokerPres, EvokerAug, HunterBm, HunterMm, HunterSv, MageArcane, MageFire, MageFrost, MonkBrew, MonkMw, MonkWw, PaladinHoly, PaladinProt, PaladinRet, PriestDisc, PriestHoly, PriestShadow, RogueSin, RogueOutlaw, RogueSub, ShamanEle, ShamanEnh, ShamanResto, WarlockAff, WarlockDemo, WarlockDest, WarriorArms, WarriorFury, WarriorProt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16%,,,,,,
,Hands items for (Rogue),0,BoE,Hands,m0 week,False,,,0,"0 gold, 0 silver, 0 copper",,,,,"Hands (Rogue, m0)",m0 week,2 available in m0,m0,,"259, 260, 261","DkBlood, DkFrost, DkUnholy, DhHavoc, DhVeng, DruidBoomie, DruidCat, DruidBear, DruidResto, EvokerDev, EvokerPres, EvokerAug, HunterBm, HunterMm, HunterSv, MageArcane, MageFire, MageFrost, MonkBrew, MonkMw, MonkWw, PaladinHoly, PaladinProt, PaladinRet, PriestDisc, PriestHoly, PriestShadow, RogueSin, RogueOutlaw, RogueSub, ShamanEle, ShamanEnh, ShamanResto, WarlockAff, WarlockDemo, WarlockDest, WarriorArms, WarriorFury, WarriorProt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,16%,,,,,,,,,,,,,,,,,,,,19%,,,
,Hands items for (Shaman),0,BoE,Hands,m0 week,False,,,0,"0 gold, 0 silver, 0 copper",,,,,"Hands (Shaman, m0)",m0 week,2 available in m0,m0,,"262, 263, 264","DkBlood, DkFrost, DkUnholy, DhHavoc, DhVeng, DruidBoomie, DruidCat, DruidBear, DruidResto, EvokerDev, EvokerPres, EvokerAug, HunterBm, HunterMm, HunterSv, MageArcane, MageFire, MageFrost, MonkBrew, MonkMw, MonkWw, PaladinHoly, PaladinProt, PaladinRet, PriestDisc, PriestHoly, PriestShadow, RogueSin, RogueOutlaw, RogueSub, ShamanEle, ShamanEnh, ShamanResto, WarlockAff, WarlockDemo, WarlockDest, WarriorArms, WarriorFury, WarriorProt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16%,,16%,,,,,,,,,,,,,,,,,28%,,
,Hands items for (Dk),0,BoE,Hands,m0 week,False,,,0,"0 gold, 0 silver, 0 copper",,,,,"Hands (Dk, m0)",m0 week,4 available in m0,m0,,"250, 251, 252","DkBlood, DkFrost, DkUnholy, DhHavoc, DhVeng, DruidBoomie, DruidCat, DruidBear, DruidResto, EvokerDev, EvokerPres, EvokerAug, HunterBm, HunterMm, HunterSv, MageArcane, MageFire, MageFrost, MonkBrew, MonkMw, MonkWw, PaladinHoly, PaladinProt, PaladinRet, PriestDisc, PriestHoly, PriestShadow, RogueSin, RogueOutlaw, RogueSub, ShamanEle, ShamanEnh, ShamanResto, WarlockAff, WarlockDemo, WarlockDest, WarriorArms, WarriorFury, WarriorProt",,27%,29%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32%,,,,,,,,,,,,
,Hands items for (Mage),0,BoE,Hands,m0 week,False,,,0,"0 gold, 0 silver, 0 copper",,,,,"Hands (Mage, m0)",m0 week,4 available in m0,m0,,"62, 63, 64","DkBlood, DkFrost, DkUnholy, DhHavoc, DhVeng, DruidBoomie, DruidCat, DruidBear, DruidResto, EvokerDev, EvokerPres, EvokerAug, HunterBm, HunterMm, HunterSv, MageArcane, MageFire, MageFrost, MonkBrew, MonkMw, MonkWw, PaladinHoly, PaladinProt, PaladinRet, PriestDisc, PriestHoly, PriestShadow, RogueSin, RogueOutlaw, RogueSub, ShamanEle, ShamanEnh, ShamanResto, WarlockAff, WarlockDemo, WarlockDest, WarriorArms, WarriorFury, WarriorProt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32%,,,,,,,
,Hands items for (Paladin),0,BoE,Hands,m0 week,False,,,0,"0 gold, 0 silver, 0 copper",,,,,"Hands (Paladin, m0)",m0 week,4 available in m0,m0,,"65, 66, 70","DkBlood, DkFrost, DkUnholy, DhHavoc, DhVeng, DruidBoomie, DruidCat, DruidBear, DruidResto, EvokerDev, EvokerPres, EvokerAug, HunterBm, HunterMm, HunterSv, MageArcane, MageFire, MageFrost, MonkBrew, MonkMw, MonkWw, PaladinHoly, PaladinProt, PaladinRet, PriestDisc, PriestHoly, PriestShadow, RogueSin, RogueOutlaw, RogueSub, ShamanEle, ShamanEnh, ShamanResto, WarlockAff, WarlockDemo, WarlockDest, WarriorArms, WarriorFury, WarriorProt",,,,,,,,,,,,,,,,,,,,,,27%,,,,,,,,,,,,,,,,,,,,,,,,,29%,,,,,
,Hands items for (Priest),0,BoE,Hands,m0 week,False,,,0,"0 gold, 0 silver, 0 copper",,,,,"Hands (Priest, m0)",m0 week,4 available in m0,m0,,"256, 257, 258","DkBlood, DkFrost, DkUnholy, DhHavoc, DhVeng, DruidBoomie, DruidCat, DruidBear, DruidResto, EvokerDev, EvokerPres, EvokerAug, HunterBm, HunterMm, HunterSv, MageArcane, MageFire, MageFrost, MonkBrew, MonkMw, MonkWw, PaladinHoly, PaladinProt, PaladinRet, PriestDisc, PriestHoly, PriestShadow, RogueSin, RogueOutlaw, RogueSub, ShamanEle, ShamanEnh, ShamanResto, WarlockAff, WarlockDemo, WarlockDest, WarriorArms, WarriorFury, WarriorProt",,,,,,,,,,,,,,,,,,,,,,,,,,,32%,,,,,,,,,,,,,,,,,,,,,39%,,,,
,Hands items for (Warlock),0,BoE,Hands,m0 week,False,,,0,"0 gold, 0 silver, 0 copper",,,,,"Hands (Warlock, m0)",m0 week,4 available in m0,m0,,"265, 266, 267","DkBlood, DkFrost, DkUnholy, DhHavoc, DhVeng, DruidBoomie, DruidCat, DruidBear, DruidResto, EvokerDev, EvokerPres, EvokerAug, HunterBm, HunterMm, HunterSv, MageArcane, MageFire, MageFrost, MonkBrew, MonkMw, MonkWw, PaladinHoly, PaladinProt, PaladinRet, PriestDisc, PriestHoly, PriestShadow, RogueSin, RogueOutlaw, RogueSub, ShamanEle, ShamanEnh, ShamanResto, WarlockAff, WarlockDemo, WarlockDest, WarriorArms, WarriorFury, WarriorProt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32%,
,Hands items for (Warrior),0,BoE,Hands,m0 week,False,,,0,"0 gold, 0 silver, 0 copper",,,,,"Hands (Warrior, m0)",m0 week,4 available in m0,m0,,"71, 72, 73","DkBlood, DkFrost, DkUnholy, DhHavoc, DhVeng, DruidBoomie, DruidCat, DruidBear, DruidResto, EvokerDev, EvokerPres, EvokerAug, HunterBm, HunterMm, HunterSv, MageArcane, MageFire, MageFrost, MonkBrew, MonkMw, MonkWw, PaladinHoly, PaladinProt, PaladinRet, PriestDisc, PriestHoly, PriestShadow, RogueSin, RogueOutlaw, RogueSub, ShamanEle, ShamanEnh, ShamanResto, WarlockAff, WarlockDemo, WarlockDest, WarriorArms, WarriorFury, WarriorProt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27%,,,,,,,,,,,,,,29%
,Waist items for (Dk),0,BoE,Waist,1st/2nd week,False,,,0,"0 gold, 0 silver, 0 copper",,,,,"Waist (Dk, Hc)",1st/2nd week,3 available in Hc,Hc,,"250, 251, 252","DkBlood, DkFrost, DkUnholy, DhHavoc, DhVeng, DruidBoomie, DruidCat, DruidBear, DruidResto, EvokerDev, EvokerPres, EvokerAug, HunterBm, HunterMm, HunterSv, MageArcane, MageFire, MageFrost, MonkBrew, MonkMw, MonkWw, PaladinHoly, PaladinProt, PaladinRet, PriestDisc, PriestHoly, PriestShadow, RogueSin, RogueOutlaw, RogueSub, ShamanEle, ShamanEnh, ShamanResto, WarlockAff, WarlockDemo, WarlockDest, WarriorArms, WarriorFury, WarriorProt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21%,,,,,,,,,,,,
,Waist items for (Evoker),0,BoE,Waist,1st/2nd week,False,,,0,"0 gold, 0 silver, 0 copper",,,,,"Waist (Evoker, Hc)",1st/2nd week,3 available in Hc,Hc,,"1467, 1468, 1473","DkBlood, DkFrost, DkUnholy, DhHavoc, DhVeng, DruidBoomie, DruidCat, DruidBear, DruidResto, EvokerDev, EvokerPres, EvokerAug, HunterBm, HunterMm, HunterSv, MageArcane, MageFire, MageFrost, MonkBrew, MonkMw, MonkWw, PaladinHoly, PaladinProt, PaladinRet, PriestDisc, PriestHoly, PriestShadow, RogueSin, RogueOutlaw, RogueSub, ShamanEle, ShamanEnh, ShamanResto, WarlockAff, WarlockDemo, WarlockDest, WarriorArms, WarriorFury, WarriorProt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21%,,,,,,,,,
,Waist items for (Hunter),0,BoE,Waist,1st/2nd week,False,,,0,"0 gold, 0 silver, 0 copper",,,,,"Waist (Hunter, Hc)",1st/2nd week,3 available in Hc,Hc,,"253, 254, 255","DkBlood, DkFrost, DkUnholy, DhHavoc, DhVeng, DruidBoomie, DruidCat, DruidBear, DruidResto, EvokerDev, EvokerPres, EvokerAug, HunterBm, HunterMm, HunterSv, MageArcane, MageFire, MageFrost, MonkBrew, MonkMw, MonkWw, PaladinHoly, PaladinProt, PaladinRet, PriestDisc, PriestHoly, PriestShadow, RogueSin, RogueOutlaw, RogueSub, ShamanEle, ShamanEnh, ShamanResto, WarlockAff, WarlockDemo, WarlockDest, WarriorArms, WarriorFury, WarriorProt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24%,,,,,,,,
,Waist items for (Mage),0,BoE,Waist,1st/2nd week,False,,,0,"0 gold, 0 silver, 0 copper",,,,,"Waist (Mage, Hc)",1st/2nd week,3 available in Hc,Hc,,"62, 63, 64","DkBlood, DkFrost, DkUnholy, DhHavoc, DhVeng, DruidBoomie, DruidCat, DruidBear, DruidResto, EvokerDev, EvokerPres, EvokerAug, HunterBm, HunterMm, HunterSv, MageArcane, MageFire, MageFrost, MonkBrew, MonkMw, MonkWw, PaladinHoly, PaladinProt, PaladinRet, PriestDisc, PriestHoly, PriestShadow, RogueSin, RogueOutlaw, RogueSub, ShamanEle, ShamanEnh, ShamanResto, WarlockAff, WarlockDemo, WarlockDest, WarriorArms, WarriorFury, WarriorProt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23%,,,,,,,
,Waist items for (Paladin),0,BoE,Waist,1st/2nd week,False,,,0,"0 gold, 0 silver, 0 copper",,,,,"Waist (Paladin, Hc)",1st/2nd week,3 available in Hc,Hc,,"65, 66, 70","DkBlood, DkFrost, DkUnholy, DhHavoc, DhVeng, DruidBoomie, DruidCat, DruidBear, DruidResto, EvokerDev, EvokerPres, EvokerAug, HunterBm, HunterMm, HunterSv, MageArcane, MageFire, MageFrost, MonkBrew, MonkMw, MonkWw, PaladinHoly, PaladinProt, PaladinRet, PriestDisc, PriestHoly, PriestShadow, RogueSin, RogueOutlaw, RogueSub, ShamanEle, ShamanEnh, ShamanResto, WarlockAff, WarlockDemo, WarlockDest, WarriorArms, WarriorFury, WarriorProt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21%,,,,,
,Waist items for (Priest),0,BoE,Waist,1st/2nd week,False,,,0,"0 gold, 0 silver, 0 copper",,,,,"Waist (Priest, Hc)",1st/2nd week,3 available in Hc,Hc,,"256, 257, 258","DkBlood, DkFrost, DkUnholy, DhHavoc, DhVeng, DruidBoomie, DruidCat, DruidBear, DruidResto, EvokerDev, EvokerPres, EvokerAug, HunterBm, HunterMm, HunterSv, MageArcane, MageFire, MageFrost, MonkBrew, MonkMw, MonkWw, PaladinHoly, PaladinProt, PaladinRet, PriestDisc, PriestHoly, PriestShadow, RogueSin, RogueOutlaw, RogueSub, ShamanEle, ShamanEnh, ShamanResto, WarlockAff, WarlockDemo, WarlockDest, WarriorArms, WarriorFury, WarriorProt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23%,,,,
,Waist items for (Shaman),0,BoE,Waist,1st/2nd week,False,,,0,"0 gold, 0 silver, 0 copper",,,,,"Waist (Shaman, Hc)",1st/2nd week,3 available in Hc,Hc,,"262, 263, 264","DkBlood, DkFrost, DkUnholy, DhHavoc, DhVeng, DruidBoomie, DruidCat, DruidBear, DruidResto, EvokerDev, EvokerPres, EvokerAug, HunterBm, HunterMm, HunterSv, MageArcane, MageFire, MageFrost, MonkBrew, MonkMw, MonkWw, PaladinHoly, PaladinProt, PaladinRet, PriestDisc, PriestHoly, PriestShadow, RogueSin, RogueOutlaw, RogueSub, ShamanEle, ShamanEnh, ShamanResto, WarlockAff, WarlockDemo, WarlockDest, WarriorArms, WarriorFury, WarriorProt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19%,,19%,,,,,,,,,,,,,,,,,27%,,
,Waist items for (Warlock),0,BoE,Waist,1st/2nd week,False,,,0,"0 gold, 0 silver, 0 copper",,,,,"Waist (Warlock, Hc)",1st/2nd week,3 available in Hc,Hc,,"265, 266, 267","DkBlood, DkFrost, DkUnholy, DhHavoc, DhVeng, DruidBoomie, DruidCat, DruidBear, DruidResto, EvokerDev, EvokerPres, EvokerAug, HunterBm, HunterMm, HunterSv, MageArcane, MageFire, MageFrost, MonkBrew, MonkMw, MonkWw, PaladinHoly, PaladinProt, PaladinRet, PriestDisc, PriestHoly, PriestShadow, RogueSin, RogueOutlaw, RogueSub, ShamanEle, ShamanEnh, ShamanResto, WarlockAff, WarlockDemo, WarlockDest, WarriorArms, WarriorFury, WarriorProt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23%,
,Waist items for (Warrior),0,BoE,Waist,1st/2nd week,False,,,0,"0 gold, 0 silver, 0 copper",,,,,"Waist (Warrior, Hc)",1st/2nd week,3 available in Hc,Hc,,"71, 72, 73","DkBlood, DkFrost, DkUnholy, DhHavoc, DhVeng, DruidBoomie, DruidCat, DruidBear, DruidResto, EvokerDev, EvokerPres, EvokerAug, HunterBm, HunterMm, HunterSv, MageArcane, MageFire, MageFrost, MonkBrew, MonkMw, MonkWw, PaladinHoly, PaladinProt, PaladinRet, PriestDisc, PriestHoly, PriestShadow, RogueSin, RogueOutlaw, RogueSub, ShamanEle, ShamanEnh, ShamanResto, WarlockAff, WarlockDemo, WarlockDest, WarriorArms, WarriorFury, WarriorProt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21%
,Waist items for (Dh),0,BoE,Waist,1st/2nd week,False,,,0,"0 gold, 0 silver, 0 copper",,,,,"Waist (Dh, Hc)",1st/2nd week,4 available in Hc,Hc,,"577, 581","DkBlood, DkFrost, DkUnholy, DhHavoc, DhVeng, DruidBoomie, DruidCat, DruidBear, DruidResto, EvokerDev, EvokerPres, EvokerAug, HunterBm, HunterMm, HunterSv, MageArcane, MageFire, MageFrost, MonkBrew, MonkMw, MonkWw, PaladinHoly, PaladinProt, PaladinRet, PriestDisc, PriestHoly, PriestShadow, RogueSin, RogueOutlaw, RogueSub, ShamanEle, ShamanEnh, ShamanResto, WarlockAff, WarlockDemo, WarlockDest, WarriorArms, WarriorFury, WarriorProt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31%,,,,,,,,,,,
,Waist items for (Druid),0,BoE,Waist,1st/2nd week,False,,,0,"0 gold, 0 silver, 0 copper",,,,,"Waist (Druid, Hc)",1st/2nd week,4 available in Hc,Hc,,"102, 103, 104, 105","DkBlood, DkFrost, DkUnholy, DhHavoc, DhVeng, DruidBoomie, DruidCat, DruidBear, DruidResto, EvokerDev, EvokerPres, EvokerAug, HunterBm, HunterMm, HunterSv, MageArcane, MageFire, MageFrost, MonkBrew, MonkMw, MonkWw, PaladinHoly, PaladinProt, PaladinRet, PriestDisc, PriestHoly, PriestShadow, RogueSin, RogueOutlaw, RogueSub, ShamanEle, ShamanEnh, ShamanResto, WarlockAff, WarlockDemo, WarlockDest, WarriorArms, WarriorFury, WarriorProt",,,,,,27%,,,24%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29%,,,,,,,,,,
,Waist items for (Monk),0,BoE,Waist,1st/2nd week,False,,,0,"0 gold, 0 silver, 0 copper",,,,,"Waist (Monk, Hc)",1st/2nd week,4 available in Hc,Hc,,"268, 270, 269","DkBlood, DkFrost, DkUnholy, DhHavoc, DhVeng, DruidBoomie, DruidCat, DruidBear, DruidResto, EvokerDev, EvokerPres, EvokerAug, HunterBm, HunterMm, HunterSv, MageArcane, MageFire, MageFrost, MonkBrew, MonkMw, MonkWw, PaladinHoly, PaladinProt, PaladinRet, PriestDisc, PriestHoly, PriestShadow, RogueSin, RogueOutlaw, RogueSub, ShamanEle, ShamanEnh, ShamanResto, WarlockAff, WarlockDemo, WarlockDest, WarriorArms, WarriorFury, WarriorProt",,,,,,,,,,,,,,,,,,,,23%,,,,,,,,,,,,,,,,,,,,,,,,,,28%,,,,,,
,Waist items for (Rogue),0,BoE,Waist,1st/2nd week,False,,,0,"0 gold, 0 silver, 0 copper",,,,,"Waist (Rogue, Hc)",1st/2nd week,4 available in Hc,Hc,,"259, 260, 261","DkBlood, DkFrost, DkUnholy, DhHavoc, DhVeng, DruidBoomie, DruidCat, DruidBear, DruidResto, EvokerDev, EvokerPres, EvokerAug, HunterBm, HunterMm, HunterSv, MageArcane, MageFire, MageFrost, MonkBrew, MonkMw, MonkWw, PaladinHoly, PaladinProt, PaladinRet, PriestDisc, PriestHoly, PriestShadow, RogueSin, RogueOutlaw, RogueSub, ShamanEle, ShamanEnh, ShamanResto, WarlockAff, WarlockDemo, WarlockDest, WarriorArms, WarriorFury, WarriorProt",,,,,,,,,,,,,,,,,,,,,,,,,,,,,31%,,,,,,,,,,,,,,,,,,,,32%,,,
221121,Honorbound Retainer's Sash,437,Soulbound,Waist,Cloth,False,Intellect,"Critical Strike, Mastery",68,"27 gold, 0 silver, 6 copper",Captain Dailcry,Int,58% Mastery + 41% Critical Strike,M>C,Waist,Priory of the Sacred Flame,Priory,Hc,1st,"62, 63, 64, 256, 257, 258, 265, 266, 267","MageArcane, MageFire, MageFrost, PriestDisc, PriestHoly, PriestShadow, WarlockAff, WarlockDemo, WarlockDest",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,50%,0%,0%,50%,0%,0%,50%,0%
221158,Burrower's Cinch,437,Soulbound,Waist,Cloth,False,Intellect,"Critical Strike, Haste",68,"26 gold, 69 silver, 96 copper",Anub'zekt,Int,64% Critical Strike + 35% Haste,C>H,Waist,"Ara-Kara, City of Echoes",Ara-Kara,both,2nd,"62, 63, 64, 256, 257, 258, 265, 266, 267","MageArcane, MageFire, MageFrost, PriestDisc, PriestHoly, PriestShadow, WarlockAff, WarlockDemo, WarlockDest",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,50%,0%,0%,50%,0%,0%,50%,0%
221087,Dorlita's Safety Belt,437,Soulbound,Waist,Cloth,False,Intellect,"Mastery, Versatility",68,"27 gold, 59 silver, 44 copper",Speaker Dorlita,Int,62% Versatility + 37% Mastery,V>M,Waist,The Stonevault,Stonevault,both,3rd,"62, 63, 64, 256, 257, 258, 265, 266, 267","MageArcane, MageFire, MageFrost, PriestDisc, PriestHoly, PriestShadow, WarlockAff, WarlockDemo, WarlockDest",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0%,0%,0%,0%,0%,25%,0%,0%,25%,0%,0%,25%,0%
